,Fecha_Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
1,2004-01-01,Local,Venta,Girona,185,1945424,2004-04-19 00:00:00,Pedro
3,2004-01-02,Parking,Alquiler,Girona,285,,2004-04-27 00:00:00,Jesús
5,2004-01-03,Industrial,Alquiler,Girona,131,953156,2004-09-05 00:00:00,Pedro
7,2004-01-03,Oficina,Venta,Girona,235,2158475,2004-10-31 00:00:00,Jesús
10,2004-01-04,Oficina,Alquiler,Girona,124,627068,2004-10-28 00:00:00,Pedro
11,2004-01-04,Industrial,Venta,Girona,187,999328,2004-04-05 00:00:00,Carmen
14,2004-01-04,Industrial,Alquiler,Girona,176,820336,2004-11-29 00:00:00,Pedro
15,2004-01-05,Casa,Alquiler,Girona,179,937960,2004-11-21 00:00:00,Carmen
22,2004-01-10,Casa,Alquiler,Girona,183,1438929,2004-04-21 00:00:00,Luisa
36,2004-01-16,Local,Venta,Girona,229,1160572,2004-07-09 00:00:00,Pedro
39,2004-01-18,Oficina,Venta,Girona,182,1057784,2004-07-22 00:00:00,Jesús
43,2004-01-19,Casa,Venta,Girona,278,1537062,2004-12-16 00:00:00,María
54,2004-01-22,Local,Venta,Girona,127,983234,2004-07-09 00:00:00,Carmen
57,2004-01-24,Local,Alquiler,Girona,274,2287626,2004-12-21 00:00:00,María
68,2004-01-27,Local,Venta,Girona,248,2212408,2004-10-09 00:00:00,María
70,2004-01-28,Casa,Venta,Girona,235,1939925,2004-11-01 00:00:00,Carmen
73,2004-01-29,Industrial,Venta,Girona,229,1098055,2004-10-22 00:00:00,Joaquín
81,2004-02-02,Parking,Venta,Girona,117,1069731,2004-09-14 00:00:00,Pedro
85,2004-02-03,Piso,Venta,Girona,275,2141700,2005-01-08 00:00:00,Jesús
89,2004-02-04,Suelo,Venta,Girona,292,2685816,2004-07-24 00:00:00,Pedro
98,2004-02-07,Industrial,Alquiler,Girona,251,2067236,2004-12-22 00:00:00,María
100,2004-02-08,Suelo,Alquiler,Girona,162,710694,2004-09-27 00:00:00,María
102,2004-02-08,Casa,Alquiler,Girona,258,1188090,2004-07-19 00:00:00,María
104,2004-02-10,Piso,Alquiler,Girona,238,1854496,2005-02-02 00:00:00,Luisa
106,2004-02-10,Suelo,Alquiler,Girona,222,1791318,2004-12-13 00:00:00,Jesús
113,2004-02-14,Suelo,Venta,Girona,103,806799,2005-01-11 00:00:00,Joaquín
115,2004-02-15,Parking,Venta,Girona,103,973659,2005-01-04 00:00:00,Jesús
116,2004-02-15,Oficina,Venta,Girona,274,1724008,2004-09-26 00:00:00,Joaquín
117,2004-02-15,Oficina,Venta,Girona,253,2047276,2004-09-10 00:00:00,Luisa
122,2004-02-17,Local,Alquiler,Girona,179,1461356,2004-07-30 00:00:00,Pedro
124,2004-02-19,Industrial,Venta,Girona,118,1067192,2004-08-25 00:00:00,Carmen
145,2004-02-28,Parking,Venta,Girona,274,2028970,2004-08-20 00:00:00,Luisa
